item_code;item_name;cbm
FRV-450;CHEST FREEZER;1.132
FRV-600;CHEST FREEZER;1.459
FRW-210;CHEST FREEZER;0.549
FX-S120Y-H;SMALL TOWER AIR PURI;0.12
FX-S120Y-W;SMALL TOWER AIR PURI;0.12
KC-F30Y-W;KIREON AIR PURIFIER;0.072
KF-MP42WH;AIR FRYER MECHANICAL;0.041
KS-B18MG-BL;RICE COOKER;0.031
KS-B18MG-GR;RICE COOKER;0.03
KS-B18MG-GY;RICE COOKER;0.03
KS-B18MG-RD;RICE COOKER;0.03
KS-DI18-SL;RICE COOKER;0.053
KS-DS18-WH;RICE COOKER;0.046
KS-DT07-WH;RICE COOKER;0.027
KS-DW18-BK;RICE COOKER;0.046
KS-G18MH-BL;RICE COOKER MECHANIC ;0.32
KS-G18MH-BZ;RICE COOKER MECHANIC ;0.032
KS-G18MP-WT;RICE COOKER MECHANIC ;0.032
KSH-777;RICE COOKER;0.032
KS-N18ME-C;RICE COOKER;0.031
KS-N18MG-PK;RICE COOKER;0.031
KS-N18MG-RD;RICE COOKER;0.03
KS-N18MG-SL;RICE COOKER;0.03
KS-R18MS-BR;RICE COOKER;0.031
KS-R18MS-PK;RICE COOKER;0.031
KS-T18TL-GR;RICE COOKER;0.031
KS-T18TL-RD;RICE COOKER;0.031
KS-T18TL-ST;RICE COOKER;0.031
KS-TH18-RD;RICE COOKER;0.044
PB2-0509;PIPA AC FLARING 5M   BRACKET 1/2 - 1 PK;0.031
PB4-0509;PIPA AC FLARING 5M   BRACKET 1/2 - 1 PK;0.09
PJ-A36TY-B;AIR COOLER 6 LITER;0.112
PJ-A36TY-W;AIR COOLER 6 LITER;0.112
PJ-A55TY-B;AIR COOLER 5 LITER;0.144
PJ-A55TY-W;AIR COOLER 5 LITER;0.144
PJ-A77TY-B;AIR COOLER 7 LITER;0.203
PJ-R34TY-B;AIR COOLER 4 LITER;0.067
PJ-R76TY-B;AIR COOLER 4 LITER;0.144
R-201MRS-BL;PORTABLE AUDIO WITH;0.055
R-201MRS-BW;PORTABLE AUDIO WITH;0.055
R-201MRS-PK;PORTABLE AUDIO WITH;0.055
R-201MRS-RD;PORTABLE AUDIO WITH;0.055
R-21D0(S)-IN;MICROWAVE OVEN;0.075
R-220MFB-BK;MICROWAVE SOLO 20L;0.068
R-223DA-BK;MICROWAVE OVEN STANDART;0.078
R-223MA-BK;MICROWAVE OVEN STANDART;0.076
R-225DFB-BK;MICROWAVE OVEN STANDART;0.075
R-650GX(BS);MICROWAVE OVEN GRILL;0.077
R-725DA-BK;MICROWAVE OVEN GRILL;0.095
R-728(K)-IN;MICROWAVE OVEN;0.097
R-728(S)-IN;MICROWAVE OVEN;0.097
R-728(W)-IN;MICROWAVE OVEN;0.194
R-735MT(K);MICROWAVE OVEN;0.101
R-735MT(S);MICROWAVE OVEN;0.303
SCH-170FS;SHOWCASE REFRIGERATOR;0.449
SCH-210FS;SHOWCASE REFRIGERATOR;0.527
SCH-250FS;SHOWCASE REFRIGERATOR;0.594
SJ-195MD-SB;6.7 INCH FHD QUAD C;0.375
SJ-195MD-SR2;REFRIGERATOR LOKAL 2;0.466
SJ-195MD-SY;REFRIGERATOR LOKAL 2;0.375
SJ-195MN-HS;REFRIGERATOR LOKAL 2;0.467
SJ-197ND-VB2;REFRIGERATOR LOKAL;0.466
SJ-197ND-VP2;REFRIGERATOR LOKAL 2;0.466
